imdb_title_id,title,year,genre,duration,country,director,production_company,budget,total_votes,median_vote,all18to29,all30to44,allover45,males,males18to29,males30to44,malesover45,females,females18to29,females30to44,femalesover45,rating_class
tt0035423,Kate & Leopold,2001,Comedy,118,USA,James Mangold,Konrad Pictures,48000000,75298,7.0,6.6,6.3,6.4,6.3,6.5,6.2,6.3,6.6,6.7,6.4,6.7,Good
tt0113026,The Fantasticks,2000,Musical,86,USA,Michael Ritchie,Michael Ritchie Productions,10000000,1082,6.0,5.5,5.5,5.4,5.3,5.4,5.4,5.3,5.7,5.6,5.8,5.6,Good
tt0118589,Glitter,2001,Drama,104,USA,Vondie Curtis-Hall,Twentieth Century Fox,22000000,20959,1.0,2.6,2.1,2.1,1.9,2.1,1.9,2.0,2.9,3.2,2.7,2.5,Bad
tt0118652,The Attic Expeditions,2001,Comedy,100,USA,Jeremy Kasten,Tse Tse Fly Productions,1000000,1588,5.0,5.0,5.1,4.6,5.0,4.7,5.1,4.6,4.8,5.8,4.6,4.6,Good
tt0120467,Vulgar,2000,Crime,87,USA,Bryan Johnson,Chango Productions,120000,3852,6.0,6.0,5.3,5.0,5.3,6.1,5.3,5.1,5.2,5.2,5.3,4.6,Good
tt0120681,From Hell,2001,Horror,122,USA,Albert Hughes,Twentieth Century Fox,35000000,141180,7.0,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.9,7.0,6.9,7.0,Good
tt0120903,X-Men,2000,Action,104,USA,Bryan Singer,Twentieth Century Fox,75000000,546110,7.0,7.4,7.4,7.4,7.3,7.3,7.3,7.4,7.6,7.6,7.6,7.7,Good
tt0120912,Men in Black II,2002,Action,88,USA,Barry Sonnenfeld,Columbia Pictures,140000000,323023,6.0,6.3,6.0,6.2,6.1,6.3,6.0,6.2,6.4,6.5,6.2,6.6,Good
tt0120913,Titan A.E.,2000,Animation,94,USA,Don Bluth,David Kirschner Productions,75000000,56950,7.0,6.8,6.6,6.4,6.6,6.7,6.6,6.4,6.8,7.0,6.8,6.4,Good
tt0120917,The Emperor's New Groove,2000,Animation,78,USA,Mark Dindal,Walt Disney Feature Animation,100000000,165955,8.0,7.4,7.2,7.0,7.2,7.3,7.2,6.9,7.6,7.7,7.5,7.3,Excellent
tt0121765,Star Wars: Episode II - Attack of the Clones,2002,Action,142,USA,George Lucas,Lucasfilm,115000000,588888,7.0,6.6,6.6,6.5,6.6,6.6,6.6,6.5,6.7,7.0,6.6,6.5,Good
tt0121766,Star Wars: Episode III - Revenge of the Sith,2005,Action,140,USA,George Lucas,Lucasfilm,113000000,655343,8.0,7.7,7.5,7.3,7.5,7.7,7.5,7.3,7.5,7.7,7.3,7.1,Excellent
tt0122459,Return to Me,2000,Comedy,115,USA,Bonnie Hunt,Metro-Goldwyn-Mayer (MGM),24000000,18739,7.0,6.9,6.7,7.1,6.7,6.8,6.6,6.9,7.0,7.0,6.8,7.5,Good
tt0123003,Bruno,2000,Comedy,108,USA,Shirley MacLaine,J&M Entertainment,10000000,1301,7.0,6.5,5.9,6.3,5.8,5.8,5.6,6.0,6.8,7.0,6.4,7.1,Good
tt0125022,Heartbreakers,2001,Comedy,123,USA,David Mirkin,Davis Entertainment,35000000,49313,6.0,6.4,6.1,6.2,6.1,6.2,6.1,6.2,6.3,6.5,6.2,6.2,Good
tt0126029,Shrek,2001,Animation,90,USA,Andrew Adamson,DreamWorks Animation,60000000,576231,8.0,7.9,7.8,7.9,7.8,7.8,7.8,7.9,7.9,7.9,7.9,8.1,Excellent
tt0130623,Dinosaur,2000,Animation,82,USA,Eric Leighton,Walt Disney Pictures,127500000,49058,7.0,6.6,6.2,6.5,6.4,6.5,6.2,6.4,6.8,6.9,6.5,6.9,Good
tt0133152,Planet of the Apes,2001,Action,119,USA,Tim Burton,Twentieth Century Fox,100000000,203759,6.0,5.7,5.7,5.8,5.7,5.7,5.7,5.7,5.9,6.0,5.8,5.9,Good
tt0133240,Treasure Planet,2002,Animation,95,USA,Ron Clements,Walt Disney Feature Animation,140000000,93313,7.0,7.3,6.9,6.7,7.1,7.3,6.9,6.7,7.4,7.6,7.1,6.8,Good
tt0134084,Scream 3,2000,Horror,116,USA,Wes Craven,Dimension Films,40000000,117165,6.0,5.8,5.4,5.6,5.5,5.7,5.4,5.5,5.7,6.0,5.6,6.0,Good
tt0134630,Duets,2000,Comedy,112,USA,Bruce Paltrow,Hollywood Pictures,21000000,8880,6.0,6.0,6.0,6.3,6.1,6.0,6.0,6.3,6.0,6.0,5.8,6.3,Good
tt0135707,Wind River,2000,Drama,97,USA,Tom Shell,Mad Dog Productions,5500000,332,7.0,6.5,6.2,6.4,6.2,6.3,5.8,6.4,6.9,6.7,7.2,6.7,Good
tt0138353,Cement,2000,Crime,97,USA,Adrian Pasdar,Ocelot Films Inc.,1700000,381,6.0,9.4,7.2,4.8,5.9,8.9,6.6,4.9,8.9,9.5,9.4,3.8,Good
tt0138524,Intolerable Cruelty,2003,Comedy,100,USA,Joel Coen,Universal Pictures,60000000,86576,6.0,6.3,6.2,6.3,6.3,6.3,6.3,6.3,6.0,6.1,5.9,6.2,Good
tt0138749,The Road to El Dorado,2000,Animation,89,USA,Bibo Bergeron,DreamWorks Animation,95000000,77350,7.0,7.1,6.7,6.4,6.8,7.0,6.6,6.4,7.2,7.4,6.9,6.7,Good
tt0138946,The Yards,2000,Crime,115,USA,James Gray,Miramax,24000000,18797,6.0,6.5,6.3,6.4,6.4,6.6,6.3,6.4,6.2,6.0,6.2,6.4,Good
tt0139388,It Had to Be You,2000,Comedy,96,USA,Steven Feder,Black Sheep Entertainment (I),10000000,1680,6.0,5.6,5.6,6.0,5.8,5.9,5.6,5.9,5.6,5.4,5.5,6.1,Good
tt0139654,Training Day,2001,Crime,122,USA,Antoine Fuqua,Warner Bros.,45000000,363962,8.0,7.9,7.7,7.4,7.7,7.9,7.7,7.4,7.4,7.5,7.3,7.3,Excellent
tt0141120,The Ghost,2001,Action,86,USA,Douglas Jackson,Lonetree Entertainment,1100000,322,4.0,3.0,3.4,4.5,3.6,2.8,3.3,4.3,4.8,4.0,4.4,6.4,Bad
